,seller,sales,shop_since,rating,favorers,listings,categories,macrame_products,years_in_business,items_sold_per_year,items_sold_per_month,avg_product_price,sales_per_month,sales_per_year,macrame_products_ratio,macrame_products_sales_per_year,macrame_products_sales_per_month,jewelry_products,decoration_products,material_products,macrame_sample_size,sample_listed_products,other_products
84,NoTailCatJewellery,352,2017,4.988,397,159,5,150,2,176.0,14.666666666666664,582.5833333333334,8544.555555555557,102534.66666666669,94.33962264150944,96730.81761006289,8060.901467505241,3.0,0.0,0.0,2.0,3.0,3.0
85,TheKnottyRatsNest,634,2011,5.0,1368,120,7,77,8,79.25,6.604166666666668,467.19500000000005,3085.4336458333337,37025.20375,64.16666666666667,23757.83907291667,1979.819922743056,4.0,3.0,0.0,9.090909090909092,7.0,0.0
86,VictorianLeathers,145,2014,4.9677,238,84,13,2,5,29.0,2.4166666666666665,,,,2.380952380952381,,,0.0,0.0,0.0,0.0,0.0,0.0
87,IndieBohoStudio,296,2016,5.0,286,51,5,39,3,98.66666666666669,8.222222222222221,1295.9132352941178,10655.28660130719,127863.4392156863,76.47058823529412,97777.92410611305,8148.1603421760865,0.0,28.0,6.0,87.1794871794872,34.0,0.0
88,MidwesternMigrantOk,24,2017,4.75,36,10,3,10,2,12.0,1.0,695.83,695.83,8349.960000000001,100.0,8349.960000000001,695.83,0.0,1.0,0.0,10.0,1.0,0.0
89,KETmercantile,1670,2016,5.0,1083,31,6,20,3,556.6666666666666,46.38888888888889,1026.7838095238094,47631.36005291005,571576.3206349205,64.51612903225806,368758.91653865844,30729.909711554865,0.0,6.0,15.0,105.0,21.0,0.0
90,YesterdaysMagic,19856,2011,4.8774,2993,1917,14,9,8,2482.0,206.83333333333331,46.86,9692.21,116306.52,0.4694835680751174,546.0400000000002,45.50333333333334,0.0,0.0,7.0,77.77777777777777,7.0,0.0
91,LonelyBeach,2940,2015,4.9932,2094,266,16,136,4,735.0,61.25,166.738,10212.7025,122552.43,51.127819548872175,62658.38526315789,5221.532105263157,0.0,0.0,10.0,7.352941176470589,10.0,0.0
92,zigzagpdx,42,2017,5.0,121,31,1,31,2,21.0,1.75,3005.3033333333333,5259.280833333333,63111.37,100.0,63111.37,5259.280833333333,0.0,6.0,0.0,19.354838709677423,6.0,0.0
93,OwlTellYouSew,39,2016,5.0,102,7,2,2,3,13.0,1.0833333333333333,,,,28.57142857142857,,,0.0,0.0,0.0,0.0,0.0,0.0
94,ModernWallHangings,45,2015,5.0,51,21,2,21,4,11.25,0.9375,2485.09,2329.771875000001,27957.2625,100.0,27957.2625,2329.771875000001,0.0,2.0,0.0,9.523809523809524,2.0,0.0
95,TheArtistryOwl,209,2015,4.6364,91,24,5,9,4,52.25,4.354166666666667,44.73,194.761875,2337.1425,37.5,876.4284375,73.035703125,0.0,0.0,1.0,11.111111111111109,1.0,0.0
96,ThatCreativeFeeling,411,2012,5.0,389,46,4,9,7,58.714285714285715,4.892857142857143,64.1475,313.86455357142864,3766.374642857143,19.565217391304348,736.8993866459626,61.4082822204969,0.0,0.0,4.0,44.444444444444436,4.0,0.0
97,FrayedKnotsStudio,1348,2017,4.8941,963,116,7,115,2,674.0,56.16666666666666,2417.1123076923072,135761.14128205125,1629133.695384615,99.13793103448276,1615089.43938992,134590.78661582668,0.0,13.0,0.0,11.304347826086955,13.0,0.0
98,CraftConfetti,2843,2016,4.9875,2153,254,18,174,3,947.6666666666665,78.97222222222223,160.24,12654.508888888891,151854.10666666663,68.50393700787401,104026.04157480317,8668.836797900265,5.0,0.0,18.0,13.218390804597702,23.0,0.0
99,ThankfulKnits,286,2014,5.0,271,30,5,22,5,57.2,4.766666666666667,3156.0625,15043.897916666667,180526.775,73.33333333333333,132386.30166666667,11032.191805555554,0.0,4.0,0.0,18.181818181818183,4.0,0.0
100,PlaceofMyCrafts,2,2017,5.0,7,7,2,7,2,1.0,0.08333333333333333,2488.0640000000008,207.33866666666668,2488.0640000000008,100.0,2488.0640000000008,207.33866666666668,0.0,5.0,0.0,71.42857142857143,5.0,0.0
101,AnnaCuce,676,2015,5.0,426,4,2,4,4,169.0,14.083333333333336,163.74,2306.005,27672.06,100.0,27672.06,2306.005,0.0,0.0,2.0,50.0,2.0,0.0
102,PatternMuseum,2903,2014,4.9556,617,481,7,28,5,580.6,48.38333333333333,85.30312499999997,4127.249531249999,49526.99437499998,5.8212058212058215,2883.068279625779,240.2556899688149,0.0,0.0,32.0,114.28571428571428,32.0,0.0
103,forestfathers,124,2017,5.0,118,144,8,26,2,62.0,5.166666666666667,158.28166666666667,817.7886111111113,9813.463333333333,18.055555555555557,1771.8753240740743,147.65627700617287,0.0,1.0,5.0,23.07692307692308,6.0,0.0
104,knotmodern,659,2015,4.963,221,123,5,123,4,164.75,13.729166666666664,223.57827586206898,3069.543412356322,36834.520948275866,100.0,36834.520948275866,3069.543412356322,0.0,0.0,29.0,23.577235772357724,29.0,0.0
105,GreenLyricMacrame,41,2018,5.0,90,28,3,26,1,41.0,3.4166666666666665,823.8136363636363,2814.6965909090914,33776.359090909085,92.85714285714286,31363.762012987016,2613.646834415585,0.0,10.0,0.0,38.46153846153846,10.0,1.0
106,goandbepure,66,2018,5.0,80,4,3,4,1,66.0,5.5,103.49,569.195,6830.34,100.0,6830.34,569.195,0.0,0.0,2.0,50.0,2.0,0.0
107,PastPatternsBoutique,1199,2015,4.8148,235,174,12,41,4,299.75,24.97916666666667,50.3685,1258.1631562500004,15097.957875000002,23.5632183908046,3557.5647866379313,296.4637322198276,0.0,0.0,40.0,97.56097560975608,40.0,0.0
108,TheKannaKraftShop,2,2018,0.0,9,26,6,12,1,2.0,0.16666666666666666,781.9766666666666,130.32944444444442,1563.9533333333331,46.153846153846146,721.8246153846153,60.152051282051275,0.0,3.0,0.0,25.0,3.0,0.0
109,Dazespast,785,2009,4.9615,397,561,17,66,10,78.5,6.541666666666668,120.40899999999998,787.6755416666666,9452.106499999998,11.764705882352944,1112.0125294117643,92.66771078431371,0.0,0.0,60.0,90.9090909090909,60.0,0.0
110,NestandBurrowUK,330,2011,5.0,532,19,3,3,8,41.25,3.4375,1413.88,4860.2125000000015,58322.55,15.789473684210524,9208.823684210529,767.4019736842107,0.0,0.0,1.0,33.333333333333336,1.0,0.0
111,MacramePurse,32,2010,0.0,56,11,2,10,9,3.555555555555556,0.2962962962962963,106.85500000000002,31.660740740740746,379.9288888888889,90.9090909090909,345.389898989899,28.782491582491588,0.0,0.0,4.0,40.0,4.0,0.0
112,EvileyeFavorSupplies,9601,2016,4.8088,3326,835,13,41,3,3200.333333333333,266.69444444444446,179.02499999999995,47744.97291666666,572939.6749999999,4.910179640718563,28132.367275449098,2344.363939620758,1.0,1.0,0.0,4.878048780487805,2.0,0.0
113,KellysMacrame,94,2017,5.0,96,99,2,99,2,47.0,3.9166666666666665,1605.929487179487,6289.89049145299,75478.68589743589,100.0,75478.68589743589,6289.89049145299,0.0,39.0,0.0,39.39393939393939,39.0,0.0
114,SaguaroMacrame,8,2018,5.0,32,50,6,36,1,8.0,0.6666666666666666,1811.6318750000007,1207.7545833333334,14493.055000000002,72.0,10434.9996,869.5833,0.0,16.0,0.0,44.444444444444436,16.0,0.0
115,LemonMacrame,6,2019,0.0,11,17,2,17,0,6.0,3.0,666.0050000000001,1998.0150000000006,3996.030000000001,100.0,3996.030000000001,1998.0150000000006,0.0,10.0,0.0,58.82352941176471,10.0,0.0
116,LittleCHIEFshop,86,2016,5.0,185,41,4,1,3,28.66666666666667,2.3888888888888893,771.37,1842.7172222222225,22112.60666666667,2.4390243902439024,539.3318699186992,44.94432249322494,0.0,1.0,0.0,100.0,1.0,0.0
117,AshleyJannelCo,94,2018,5.0,104,80,0,39,1,94.0,7.833333333333332,827.8914285714285,6485.149523809523,77821.79428571428,48.75,37938.12471428571,3161.5103928571425,0.0,14.0,0.0,35.8974358974359,14.0,0.0
118,WildflowerWanda,2,2018,0.0,2,5,0,5,1,2.0,0.16666666666666666,563.29,93.88166666666666,1126.58,100.0,1126.58,93.88166666666666,0.0,3.0,0.0,60.0,3.0,0.0
119,CooloRoonie,1767,2012,5.0,302,352,17,38,7,252.42857142857144,21.035714285714285,36.59727272727272,769.8497727272725,9238.197272727271,10.795454545454543,997.3053873966937,83.10878228305782,0.0,0.0,44.0,115.7894736842105,44.0,0.0
120,TheMakeryKelowna,237,2016,5.0,98,15,6,15,3,79.0,6.583333333333332,105.26,692.9616666666667,8315.54,100.0,8315.54,692.9616666666667,0.0,1.0,0.0,6.666666666666668,1.0,0.0
121,Happyland87,6708,2009,4.7957,3518,340,9,96,10,670.8,55.9,329.6464912280701,18427.238859649122,221126.86631578946,28.235294117647058,62435.82107739938,5202.985089783281,0.0,0.0,54.0,56.25,54.0,3.0
122,MagicalSweetDreams,596,2015,5.0,7321,205,11,77,4,149.0,12.416666666666664,1675.9088235294116,20809.2012254902,249710.41470588237,37.560975609756106,93793.66796269726,7816.13899689144,0.0,16.0,1.0,22.07792207792208,17.0,0.0
123,66Playdoor,3,2018,0.0,23,38,12,4,1,3.0,0.25,1500.995,375.24875,4502.985,10.526315789473683,473.9984210526316,39.49986842105263,0.0,2.0,0.0,50.0,2.0,0.0
