,sales,favorers,listings,macrame_products,years_in_business,items_sold_per_year,items_sold_per_month,avg_product_price,sales_per_month,sales_per_year,macrame_products_ratio,macrame_products_sales_per_year,macrame_products_sales_per_month,jewelry_products,decoration_products,material_products,macrame_sample_size,sample_listed_products,jewelry_products_profits,decoration_products_profits,material_products_profits,jewelry_products_quantities,decoration_products_quantities,material_products_quantities,decoration_products_sold_per_year,jewelry_products_sold_per_year,material_products_sold_per_year
289,21,48,52,35,8,2.625,0.21875,454.41428571428565,99.403125,1192.8375,67.30769230769229,802.8713942307692,66.90594951923076,0.0,7.0,0.0,20.0,7.0,0.0,80287.13942307692,0.0,0.0,0.1346153846153846,0.0,0.3533653846153846,0.0,0.0
290,207,327,70,49,4,51.75,4.3125,412.58529411764715,1779.2740808823532,21351.28897058824,70.0,14945.902279411768,1245.4918566176473,0.0,5.0,17.0,44.89795918367345,22.0,0.0,339679.5972593584,1154910.6306818184,0.0,0.07142857142857144,0.24285714285714285,3.696428571428572,0.0,12.567857142857143
291,100,129,92,3,2,50.0,4.166666666666667,340.4633333333333,1418.5972222222226,17023.166666666664,3.260869565217391,555.1032608695651,46.25860507246377,0.0,0.0,3.0,100.0,3.0,0.0,0.0,55510.32608695651,0.0,0.0,0.03260869565217391,0.0,0.0,1.6304347826086956
292,14743,2704,1110,44,5,2948.6,245.71666666666667,50.43869565217392,12393.62816666667,148723.538,3.963963963963964,5895.347452252252,491.2789543543544,0.0,0.0,23.0,52.27272727272727,23.0,0.0,0.0,589534.7452252252,0.0,0.0,0.020720720720720717,0.0,0.0,61.09711711711711
293,4,75,11,11,1,4.0,0.3333333333333333,778.155,259.385,3112.62,100.0,3112.62,259.385,0.0,0.0,4.0,36.36363636363637,4.0,0.0,0.0,311262.0,0.0,0.0,0.3636363636363637,0.0,0.0,1.4545454545454548
294,10,8,33,30,1,10.0,0.8333333333333334,780.5675000000001,650.4729166666667,7805.675000000001,90.9090909090909,7096.068181818184,591.3390151515152,0.0,16.0,0.0,53.33333333333334,16.0,0.0,709606.8181818185,0.0,0.0,0.4848484848484849,0.0,4.8484848484848495,0.0,0.0
295,951,336,660,2,5,190.2,15.85,1609.94,25517.549,306210.588,0.30303030303030304,927.9108727272728,77.32590606060606,0.0,1.0,0.0,50.0,1.0,0.0,92791.08727272727,0.0,0.0,0.0015151515151515152,0.0,0.2881818181818181,0.0,0.0
296,247,2975,48,48,3,82.33333333333333,6.8611111111111125,4494.147222222224,30834.843441358043,370018.1212962964,100.0,370018.1212962964,30834.843441358043,0.0,16.0,0.0,33.333333333333336,16.0,0.0,37001812.12962964,0.0,0.0,0.33333333333333337,0.0,27.44444444444445,0.0,0.0
297,3,17,49,18,1,3.0,0.25,642.67,160.6675,1928.01,36.734693877551024,708.2485714285713,59.02071428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,265,421,5,1,13,20.384615384615387,1.6987179487179491,596.42,1013.1493589743588,12157.792307692305,20.0,2431.558461538461,202.62987179487166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,24,17,45,38,1,24.0,2.0,407.555,815.11,9781.32,84.44444444444444,8259.781333333332,688.3151111111113,0.0,1.0,0.0,2.631578947368421,1.0,0.0,825978.1333333333,0.0,0.0,0.022222222222222227,0.0,0.5333333333333334,0.0,0.0
300,4,3,22,8,0,4.0,2.0,87.555,175.11,350.22,36.36363636363637,127.3527272727273,63.67636363636365,0.0,0.0,2.0,25.0,2.0,0.0,0.0,12735.27272727273,0.0,0.0,0.09090909090909093,0.0,0.0,0.3636363636363637
301,83,3187,162,44,6,13.833333333333336,1.1527777777777777,69.58,80.21027777777778,962.5233333333333,27.160493827160487,261.4260905349794,21.785507544581613,1.0,0.0,0.0,2.272727272727273,1.0,26142.60905349793,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.08539094650205763,0.0
302,22,59,50,49,2,11.0,0.9166666666666666,626.1279999999998,573.9506666666666,6887.4079999999985,98.0,6749.6598399999975,562.4716533333333,0.0,3.0,7.0,20.40816326530612,10.0,0.0,202489.7952,472476.18879999977,0.0,0.06,0.14,0.6599999999999999,0.0,1.54
303,1607,372,1771,870,1,1607.0,133.91666666666666,101.39,13577.810833333333,162933.73,49.12478825522304,80040.84985883682,6670.070821569735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,26,21,106,11,1,26.0,2.1666666666666665,636.18,1378.39,16540.68,10.377358490566039,1716.4856603773585,143.04047169811318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,67,1307,66,65,4,16.75,1.3958333333333333,810.81,1131.7556249999998,13581.0675,98.48484848484848,13375.29375,1114.6078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,55994,6751,4901,961,11,5090.363636363636,424.1969696969697,66.661875,28277.765369318182,339333.1844318181,19.608243215670267,66537.27611486986,5544.773009572489,6.0,0.0,16.0,2.2892819979188346,22.0,1814652.984950996,0.0,4839074.62653599,0.001224239951030402,0.0,0.0032646398694144052,0.0,6.231826528908758,16.618204077090017
307,26,145,37,34,1,26.0,2.1666666666666665,1084.40619047619,2349.546746031745,28194.560952380936,91.89189189189187,25908.515469755454,2159.042955812955,0.0,21.0,0.0,61.764705882352935,21.0,0.0,2590851.5469755456,0.0,0.0,0.5675675675675675,0.0,14.756756756756756,0.0,0.0
308,4,58,17,17,2,2.0,0.16666666666666666,506.755,84.45916666666666,1013.51,100.0,1013.51,84.45916666666666,1.0,0.0,0.0,5.882352941176473,1.0,101351.0,0.0,0.0,0.05882352941176471,0.0,0.0,0.0,0.11764705882352942,0.0
309,869,782,184,129,3,289.6666666666667,24.13888888888889,125.82526315789477,3037.282046783627,36447.38456140352,70.1086956521739,25552.785915331813,2129.3988262776506,2.0,0.0,19.0,16.27906976744186,21.0,243359.86586030305,0.0,2311918.7256728783,0.010869565217391304,0.0,0.10326086956521738,0.0,3.148550724637681,29.91123188405797
310,32,168,34,34,7,4.571428571428571,0.3809523809523809,481.22333333333336,183.32317460317446,2199.8780952380953,100.0,2199.8780952380953,183.32317460317446,1.0,0.0,0.0,2.9411764705882355,1.0,219987.80952380953,0.0,0.0,0.029411764705882363,0.0,0.0,0.0,0.1344537815126051,0.0
311,3,27,87,30,3,1.0,0.08333333333333333,695.63,57.96916666666666,695.63,34.48275862068966,239.87241379310348,19.989367816091963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,453,439,64,1,10,45.3,3.775,566.6,2138.915,25666.98,1.5625,401.0465625,33.420546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,292,901,66,34,4,73.0,6.083333333333332,2385.69,14512.9475,174155.37,51.51515151515152,89716.40272727274,7476.366893939395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,15,104,60,56,3,5.0,0.4166666666666667,355.2033333333334,148.00138888888893,1776.0166666666669,93.33333333333331,1657.6155555555554,138.13462962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,60,1119,117,29,4,15.0,1.25,775.35,969.1875,11630.25,24.786324786324787,2882.7115384615386,240.2259615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,15395,4272,727,6,7,2199.285714285714,183.27380952380955,119.09,21826.07797619048,261912.9357142857,0.8253094910591472,2161.592316761643,180.13269306347027,0.0,0.0,3.0,50.0,3.0,0.0,0.0,216159.2316761643,0.0,0.0,0.0041265474552957355,0.0,0.0,9.075456867753976
317,18,139,89,82,2,9.0,0.75,128.53,96.3975,1156.77,92.13483146067415,1065.7880898876406,88.81567415730338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,2215,151,1106,15,2,1107.5,92.29166666666669,33.42000000000001,3084.387500000001,37012.650000000016,1.3562386980108498,501.9798824593129,41.83165687160942,0.0,0.0,10.0,66.66666666666667,10.0,0.0,0.0,50197.98824593129,0.0,0.0,0.009041591320072331,0.0,0.0,10.013562386980107
319,5632,3376,141,141,5,1126.4,93.86666666666666,560.0864583333336,52573.448888888895,630881.3866666671,100.0,630881.3866666671,52573.448888888895,1.0,0.0,48.0,34.751773049645394,49.0,1287513.0340136064,0.0,61800625.6326531,0.007092198581560284,0.0,0.3404255319148936,0.0,7.988652482269505,383.45531914893616
320,2,12,16,12,2,1.0,0.08333333333333333,90.09,7.5075,90.09,75.0,67.5675,5.630625,0.0,0.0,2.0,16.666666666666668,2.0,0.0,0.0,6756.75,0.0,0.0,0.125,0.0,0.0,0.125
321,798,1733,172,100,6,133.0,11.083333333333336,526.68875,5837.466979166667,70049.60375000001,58.139534883720934,40726.513808139534,3393.8761506782953,0.0,0.0,4.0,4.0,4.0,0.0,0.0,4072651.380813954,0.0,0.0,0.02325581395348837,0.0,0.0,3.0930232558139528
322,2305,4552,73,38,11,209.54545454545453,17.46212121212121,632.7781818181818,11049.649311294766,132595.7917355372,52.05479452054794,69022.46693082758,5751.872244235631,0.0,0.0,11.0,28.947368421052627,11.0,0.0,0.0,6902246.693082757,0.0,0.0,0.1506849315068493,0.0,0.0,31.575342465753426
323,755,1557,117,62,4,188.75,15.729166666666664,1139.6733333333334,17926.111805555556,215113.34166666667,52.99145299145299,113991.68532763535,9499.307110636279,2.0,0.0,0.0,3.2258064516129035,2.0,11399168.532763535,0.0,0.0,0.017094017094017092,0.0,0.0,0.0,3.226495726495726,0.0
324,91,220,75,75,4,22.75,1.8958333333333333,801.3541666666665,1519.2339409722226,18230.807291666664,100.0,18230.807291666664,1519.2339409722226,0.0,0.0,12.0,16.0,12.0,0.0,0.0,1823080.7291666663,0.0,0.0,0.16,0.0,0.0,3.64
325,10849,11758,179,38,11,986.2727272727273,82.18939393939394,306.56,25195.98060606061,302351.76727272733,21.22905027932961,64186.40869476893,5348.867391230743,0.0,0.0,7.0,18.42105263157895,7.0,0.0,0.0,6418640.869476892,0.0,0.0,0.03910614525139665,0.0,0.0,38.56932453021838
326,25708,8352,1924,403,8,3213.5,267.7916666666667,53.34666666666666,14285.79277777778,171429.51333333337,20.94594594594595,35907.5331981982,2992.294433183184,0.0,0.0,6.0,1.488833746898263,6.0,0.0,0.0,3590753.31981982,0.0,0.0,0.003118503118503119,0.0,0.0,10.021309771309774
327,445,1152,108,18,8,55.625,4.635416666666667,881.5957142857143,4086.563467261905,49038.761607142864,16.666666666666668,8173.126934523811,681.0939112103175,0.0,7.0,0.0,38.888888888888886,7.0,0.0,817312.6934523811,0.0,0.0,0.06481481481481483,0.0,3.6053240740740753,0.0,0.0
328,86,49,15,4,1,86.0,7.166666666666668,185.09,1326.4783333333335,15917.74,26.66666666666667,4244.730666666666,353.7275555555556,2.0,0.0,0.0,50.0,2.0,424473.06666666665,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,11.466666666666667,0.0
329,1,1,5,3,0,1.0,0.5,720.72,360.36,720.72,60.0,432.432,216.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,43,25,27,17,3,14.333333333333336,1.1944444444444444,720.7233333333332,860.8639814814813,10330.367777777778,62.96296296296296,6504.30563786008,542.0254698216735,0.0,2.0,0.0,11.764705882352946,2.0,0.0,650430.5637860079,0.0,0.0,0.07407407407407407,0.0,1.0617283950617284,0.0,0.0
331,23,31,96,24,2,11.5,0.9583333333333334,960.9,920.8625,11050.35,25.0,2762.5875,230.215625,1.0,0.0,0.0,4.166666666666667,1.0,276258.75,0.0,0.0,0.01041666666666667,0.0,0.0,0.0,0.1197916666666667,0.0
332,4,34,79,67,2,2.0,0.16666666666666666,487.895,81.31583333333333,975.79,84.81012658227849,827.5687341772152,68.9640611814346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,12,116,15,8,4,3.0,0.25,1614.99,403.7475,4844.97,53.33333333333334,2583.984,215.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
